"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"Bill & Ted's Excellent Adventure",1989,3.5,"","2016-05-13",3.65,90,"adventure","Stephen Herek","Keanu Reeves","Ed Solomon","Larry Bock","Tim Suhrstedt","David Newman","Scott Kroopf","Orion Pictures","USA","English"
"10 Cloverfield Lane",2016,4,"","2016-05-13",3.58,104,"science-fiction","Dan Trachtenberg","John Goodman","Damien Chazelle","Stefan Grube","Jeff Cutter","Bear McCreary","J.J. Abrams","Bad Robot","USA","English"
"Bill & Ted's Bogus Journey",1991,3.5,"","2016-05-14",3.29,93,"comedy","Peter Hewitt","Keanu Reeves","Ed Solomon","David Finfer","Oliver Wood","David Newman","Scott Kroopf","Orion Pictures","USA","English"
"Captain America: Civil War",2016,3,"","2016-05-14",3.62,147,"action","Anthony Russo","Chris Evans","Christopher Markus","Jeffrey Ford","Trent Opaloch","Henry Jackman","Stan Lee","Marvel Studios","USA","English"
"Pulp Fiction",1994,4,"","2016-05-16",4.32,154,"crime","Quentin Tarantino","John Travolta","Quentin Tarantino","Sally Menke","Andrzej Sekula",NA,"Lawrence Bender","Miramax","USA","English"
"Kill Bill: Vol. 1",2003,3.5,"","2016-05-17",4.14,111,"action","Quentin Tarantino","Uma Thurman","Quentin Tarantino","Sally Menke","Robert Richardson","RZA","Lawrence Bender","Miramax","USA","English"
"Kill Bill: Vol. 2",2004,3.5,"","2016-05-18",4,136,"action","Quentin Tarantino","Uma Thurman","Quentin Tarantino","Sally Menke","Robert Richardson","Robert Rodriguez","Lawrence Bender","Super Cool ManChu","USA","English"
"Batman",1989,3,"","2016-05-22",3.6,126,"fantasy","Tim Burton","Michael Keaton","Warren Skaaren","Ray Lovejoy","Roger Pratt","Danny Elfman","Peter Guber","DC Entertainment","UK","English"
"The Avengers",2012,3.5,"","2016-05-27",3.68,143,"science-fiction","Joss Whedon","Robert Downey Jr.","Joss Whedon","Jeffrey Ford","Seamus McGarvey","Alan Silvestri","Stan Lee","Marvel Studios","USA","English"
"Captain America: The First Avenger",2011,3,"","2016-05-28",3.33,124,"science-fiction","Joe Johnston","Chris Evans","Christopher Markus","Robert Dalva","Shelly Johnson","Alan Silvestri","Joe Johnston","Marvel Studios","USA","English"
"X-Men: The Last Stand",2006,NA,"","2016-05-28",2.55,104,"action","Brett Ratner","Hugh Jackman","Simon Kinberg","Mark Goldblatt","Dante Spinotti","John Powell","Ralph Winter","The Donners' Company","Canada","English"
"Room",2015,4,"","2016-05-31",4.01,118,"drama","Lenny Abrahamson","Brie Larson","Emma Donoghue","Nathan Nugent","Danny Cohen","Stephen Rennicks","Tessa Ross","Elevation Pictures","Canada","English"
"The Lego Movie",2014,4,"","2016-06-01",3.76,100,"comedy","Phil Lord","Chris Pratt","Phil Lord","David Burrows","Barry Peterson","Mark Mothersbaugh","Bruce Berman","Warner Bros. Pictures","Australia","English"
"The Babadook",2014,3.5,"","2016-06-01",3.46,94,"horror","Jennifer Kent","Essie Davis","Jennifer Kent","Simon Njoo","Radek Ladczuk","Jed Kurzel","Kristina Ceyton","Screen Australia","Australia","English"
"Good Will Hunting",1997,4.5,"","2016-06-02",4.18,127,"drama","Gus Van Sant","Matt Damon","Ben Affleck","Pietro Scalia","Jean-Yves Escoffier","Danny Elfman","Lawrence Bender","Miramax","USA","English"
"The Do-Over",2016,0.5,"","2016-06-04",2.09,108,"action","Steven Brill","Adam Sandler","Kevin Barnett","Tom Costain","Dean Semler","Rupert Gregson-Williams","Barry Bernardi","Instinctual VFX","USA","English"
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,3,"","2016-06-04",3.8,143,"action","Gore Verbinski","Johnny Depp","Ted Elliott","Arthur Schmidt","Dariusz Wolski","Klaus Badelt","Jerry Bruckheimer","Walt Disney Pictures","USA","English"
"Jurassic Park",1993,4,"","2016-06-07",4.11,127,"science-fiction","Steven Spielberg","Sam Neill","David Koepp","Michael Kahn","Dean Cundey","John Williams","Kathleen Kennedy","Universal Pictures","USA","English"
"Now You See Me 2",2016,2.5,"","2016-06-09",2.89,129,"action","Jon M. Chu","Jesse Eisenberg","Ed Solomon","Stan Salfas","Peter Deming","Brian Tyler","Bobby Cohen","Summit Entertainment","Canada","English"
"Eternal Sunshine of the Spotless Mind",2004,5,"","2016-06-10",4.21,108,"drama","Michel Gondry","Jim Carrey","Michel Gondry","Valdís Óskarsdóttir","Ellen Kuras","Jon Brion","Charlie Kaufman","Focus Features","USA","English"
"Pleasantville",1998,4,"","2016-06-11",3.59,124,"comedy","Gary Ross","Tobey Maguire","Gary Ross","William Goldenberg","John Lindley","Randy Newman","Steven Soderbergh","New Line Cinema","USA","English"
"Nightcrawler",2014,4,"","2016-06-13",4.03,118,"crime","Dan Gilroy","Jake Gyllenhaal","Dan Gilroy","John Gilroy","Robert Elswit","James Newton Howard","Jake Gyllenhaal","Sierra/Affinity","USA","English"
"Into the Wild",2007,4.5,"","2016-06-14",3.76,148,"adventure","Sean Penn","Emile Hirsch","Sean Penn","Jay Cassidy","Eric Gautier","Michael Brook","Art Linson","River Road Entertainment","USA","English"
"Reservoir Dogs",1992,4,"","2016-06-16",4.12,99,"crime","Quentin Tarantino","Harvey Keitel","Quentin Tarantino","Sally Menke","Andrzej Sekula",NA,"Lawrence Bender","Live Entertainment","USA","English"
"Finding Dory",2016,2.5,"","2016-06-17",3.33,97,"animation","Andrew Stanton","Albert Brooks","Andrew Stanton","Axel Geddes","Jeremy Lasky","Thomas Newman","John Lasseter","Pixar","USA","English"
"Inglourious Basterds",2009,4.5,"","2016-06-20",4.28,153,"thriller","Quentin Tarantino","Brad Pitt","Quentin Tarantino","Sally Menke","Robert Richardson",NA,"Lawrence Bender","The Weinstein Company","Germany","English"
"The Shallows",2016,2,"","2016-06-23",2.97,86,"thriller","Jaume Collet-Serra","Blake Lively","Anthony Jaswinski","Joel Negron","Flavio Martínez Labiano","Marco Beltrami","Lynn Harris","Columbia Pictures","Australia","English"
"The Bourne Identity",2002,3,"","2016-06-24",3.67,119,"drama","Doug Liman","Matt Damon","Tony Gilroy","Saar Klein","Oliver Wood","John Powell","Frank Marshall","Universal Pictures","USA","English"
"The Fundamentals of Caring",2016,3.5,"","2016-06-26",3.44,97,"comedy","Rob Burnett","Paul Rudd","Rob Burnett",NA,"Giles Nuttgens","Ryan Miller","Donna Gigliotti","Worldwide Pants","USA","English"
"Batman Returns",1992,3.5,"","2016-06-29",3.59,126,"fantasy","Tim Burton","Michael Keaton","Sam Hamm","Chris Lebenzon","Stefan Czapsky","Danny Elfman","Tim Burton","PolyGram Filmed Entertainment","UK","English"
"Meet the Parents",2000,3,"","2016-07-01",3.18,108,"comedy","Jay Roach","Ben Stiller","Jim Herzfeld","Jon Poll","Peter James","Randy Newman","Robert De Niro","Tribeca Productions","USA","English"
"Lethal Weapon",1987,3.5,"","2016-07-02",3.67,110,"comedy","Richard Donner","Mel Gibson","Shane Black","Stuart Baird","Stephen Goldblatt","Eric Clapton","Joel Silver","Silver Pictures","USA","English"
"Kung Fu Panda",2008,3,"","2016-07-02",3.58,90,"family","Mark Osborne","Jack Black","Glenn Berger","C.K. Horness","Yong Duk Jhun","Hans Zimmer",NA,"DreamWorks Animation","USA","English"
"The Muppets",2011,4,"","2016-07-03",3.48,103,"music","James Bobin","Jason Segel","Jason Segel","James Thomas","Don Burgess","Christophe Beck","David Hoberman","Walt Disney Pictures","USA","English"
"Cast Away",2000,4,"","2016-07-04",3.78,143,"adventure","Robert Zemeckis","Tom Hanks","Robert Zemeckis","Arthur Schmidt","Don Burgess","Alan Silvestri","Robert Zemeckis","Playtone","USA","English"
"Swiss Army Man",2016,4,"","2016-07-07",3.61,97,"fantasy","Daniel Scheinert","Paul Dano","Daniel Scheinert","Matthew Hannam","Larkin Seiple","Andy Hull","Miranda Bailey","BlackBird","USA","English"
"The Interview",2014,2,"","2016-07-08",2.84,113,"action","Seth Rogen","James Franco","Seth Rogen","Zene Baker","Brandon Trost","Henry Jackman","Ben Waisbren","Point Grey Pictures","USA","English"
"Citizen Kane",1941,5,"theatre","2016-07-10",4.2,119,"drama","Orson Welles","Orson Welles","Orson Welles","Robert Wise","Gregg Toland","Bernard Herrmann","Orson Welles","Mercury Productions","USA","English"
