"Name","Year","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"The Revenant",2015,3.81,157,"drama","Alejandro González Iñárritu","Leonardo DiCaprio","Alejandro González Iñárritu","Stephen Mirrione","Emmanuel Lubezki","Ryuichi Sakamoto","Steve Golin","Monarchy Enterprises S.a.r.l.","Canada","English"
"The Ring",2002,3.31,115,"horror","Gore Verbinski","Naomi Watts","Ehren Kruger","Craig Wood","Bojan Bazelli","Hans Zimmer","Walter F. Parkes","BenderSpink","Japan","English"
"Die Hard",1988,4.08,131,"action","John McTiernan","Bruce Willis","Steven E. de Souza","John F. Link","Jan de Bont","Michael Kamen","Joel Silver","Gordon Company","USA","English"
"The Godfather",1972,4.54,175,"crime","Francis Ford Coppola","Marlon Brando","Francis Ford Coppola","William Reynolds","Gordon Willis","Nino Rota","Albert S. Ruddy","Paramount","USA","English"
"The Godfather: Part II",1974,4.53,202,"drama","Francis Ford Coppola","Al Pacino","Francis Ford Coppola","Barry Malkin","Gordon Willis","Carmine Coppola","Francis Ford Coppola","Paramount","USA","English"
"Night of the Living Dead",1968,3.98,96,"thriller","George A. Romero","Duane Jones","George A. Romero","George A. Romero","George A. Romero",NA,"Russell Streiner","Image Ten","USA","English"
"Schindler's List",1993,4.42,195,"war","Steven Spielberg","Liam Neeson","Steven Zaillian","Michael Kahn","Janusz Kaminski","John Williams","Steven Spielberg","Universal Pictures","USA","English"
"Sling Blade",1996,3.83,135,"drama","Billy Bob Thornton","Billy Bob Thornton","Billy Bob Thornton","Hughes Winborne","Barry Markowitz","Daniel Lanois","Larry Meistrich","Miramax","USA","English"
"Selma",2014,3.77,127,"drama","Ava DuVernay","David Oyelowo","Paul Webb","Spencer Averick","Bradford Young","Jason Moran","Brad Pitt","Plan B Entertainment","UK","English"
"Colossal",2016,3.22,109,"drama","Nacho Vigalondo","Anne Hathaway","Nacho Vigalondo","Luke Doolan","Eric Kress","Bear McCreary","Anne Hathaway","Toy Fight Productions","Canada","English"
"The Good, the Bad and the Ugly",1966,4.41,161,"western","Sergio Leone","Clint Eastwood","Sergio Leone","Nino Baragli","Tonino Delli Colli","Ennio Morricone","Alberto Grimaldi","United Artists","USA","Italian"
"Aliens",1986,4.13,137,"thriller","James Cameron","Sigourney Weaver","David Giler","Ray Lovejoy","Adrian Biddle","James Horner","Gale Anne Hurd","Brandywine Productions","USA","English"
"Hunt for the Wilderpeople",2016,4.04,101,"adventure","Taika Waititi","Sam Neill","Taika Waititi","Yana Gorskaya","Lachlan Milne","Lukasz Pawel Buda","Taika Waititi","Defender Films","New Zealand","English"
"American History X",1998,4.04,119,"drama","Tony Kaye","Edward Norton","David McKenna","Gerald B. Greenberg","Tony Kaye","Anne Dudley","Steve Tisch","New Line Cinema","USA","English"
"Sing Street",2016,3.97,106,"comedy","John Carney","Ferdia Walsh-Peelo","John Carney","Andrew Marcus","Yaron Orbach",NA,"Anthony Bregman","Cosmo Film","USA","English"
"The Green Mile",1999,4.1,189,"fantasy","Frank Darabont","Tom Hanks","Stephen King","Richard Francis-Bruce","David Tattersall","Thomas Newman","David Valdes","Castle Rock Entertainment","USA","English"
"Dazed and Confused",1993,3.93,102,"drama","Richard Linklater","Jason London","Richard Linklater","Sandra Adair","Lee Daniel",NA,"Richard Linklater","Gramercy Pictures","USA","English"
"Warrior",2011,3.9,140,"drama","Gavin O'Connor","Joel Edgerton","Gavin O'Connor","Matt Chesse","Masanobu Takayanagi","Mark Isham","Lisa Ellzey","Lionsgate","USA","English"
"Catch Me If You Can",2002,3.99,141,"drama","Steven Spielberg","Leonardo DiCaprio","Jeff Nathanson","Michael Kahn","Janusz Kaminski","John Williams","Steven Spielberg","Parkes/MacDonald Productions","USA","English"
"Hell or High Water",2016,3.87,102,"crime","David Mackenzie","Jeff Bridges","Taylor Sheridan","Jake Roberts","Giles Nuttgens","Nick Cave","Gigi Pritzker","Sidney Kimmel Entertainment","USA","English"
"A Single Man",2009,3.85,97,"drama","Tom Ford","Colin Firth","Christopher Isherwood","Joan Sobel","Eduard Grau","Abel Korzeniowski","Chris Weitz","Fade to Black Productions","USA","English"
"Platoon",1986,3.85,120,"action","Oliver Stone","Charlie Sheen","Oliver Stone","Claire Simpson","Robert Richardson","Georges Delerue","Derek Gibson","Hemdale Film Corporation","USA","English"
"Kiss Kiss Bang Bang",2005,3.74,103,"crime","Shane Black","Robert Downey Jr.","Shane Black","Jim Page","Michael Barrett","John Ottman","Joel Silver","Silver Pictures","USA","English"
"The Tree of Life",2011,3.8,139,"drama","Terrence Malick","Brad Pitt","Terrence Malick","Jay Rabinowitz","Emmanuel Lubezki","Alexandre Desplat","Brad Pitt","Plan B Entertainment","USA","English"
"Dallas Buyers Club",2013,3.86,117,"history","Jean-Marc Vallée","Matthew McConaughey","Melisa Wallack","Jean-Marc Vallée","Yves Bélanger",NA,"Holly Wiersma","Universal Pictures","USA","English"
"Midnight in Paris",2011,3.71,94,"fantasy","Woody Allen","Owen Wilson","Woody Allen","Alisa Lepselter","Darius Khondji",NA,"Letty Aronson","Pontchartrain Productions","Spain","English"
"The King's Speech",2010,3.73,118,"history","Tom Hooper","Colin Firth","David Seidler","Tariq Anwar","Danny Cohen","Alexandre Desplat","Geoffrey Rush","The Weinstein Company","UK","English"
"Mud",2012,3.64,130,"drama","Jeff Nichols","Matthew McConaughey","Jeff Nichols","Julie Monroe","Adam Stone","David Wingo","Aaron Ryder","Everest Entertainment","USA","English"
