Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-01-06,R,2010,https://boxd.it/BlWED,,,,1401-01-05
2016-05-13,The Incredible Hulk,2008,https://boxd.it/9I7wn,3,Yes,,2016-05-13
2016-05-13,Iron Man,2008,https://boxd.it/9I7yD,4,,,2016-05-13
2016-05-13,The Incredible Hulk,2008,https://boxd.it/9I7Ap,3,,,2016-05-13
2016-05-17,Pulp Fiction,1994,https://boxd.it/9L05l,4.5,,,2016-05-16
2016-05-17,Pulp Fiction,1994,https://boxd.it/9LdGz,5,,,2016-05-16
2016-06-18,Finding Nemo,2003,https://boxd.it/a7UEP,1,,,2016-06-17
2016-06-19,Central Intelligence,2016,https://boxd.it/a8TNt,3,,,2016-06-18
2016-08-04,The Secret Life of Pets,2016,https://boxd.it/aIOSP,2.5,Yes,,2016-08-03
2016-08-05,Suicide Squad,2016,https://boxd.it/aJEbj,2,,,2016-08-04
2016-08-10,Captain America: Civil War,2016,https://boxd.it/aNHAz,3.5,Yes,,2016-08-09
2017-06-01,Wonder Woman,2017,https://boxd.it/hA181,,,,2017-06-01
2017-06-28,Baby Driver,2017,https://boxd.it/i8A5z,4.5,,,2017-06-27
2017-07-10,Spider-Man: Homecoming,2017,https://boxd.it/ipO1v,3.5,Yes,,2017-07-09
2017-07-27,Dunkirk,2017,https://boxd.it/iQKwj,5,Yes,,2017-07-26
2017-09-15,mother!,2017,https://boxd.it/k5QD5,4.5,,,2017-09-14
2017-09-15,mother!,2017,https://boxd.it/k5ZO7,4.5,,,2017-09-14
2017-12-03,Enemy,2013,https://boxd.it/m82Mb,4,Yes,,2017-12-02
2017-12-04,Locke,2013,https://boxd.it/mabhb,3.5,,,2017-12-03
2017-12-17,A Glimpse Inside the Mind of Charles Swan III,2012,https://boxd.it/mxjL5,1.5,,,2017-12-17
2017-12-26,Under the Skin,2013,https://boxd.it/mPbfV,4,,,2017-12-25
2017-12-30,Under the Skin,2013,https://boxd.it/mXfTh,4,Yes,,2017-12-25
2017-12-27,Ginger & Rosa,2012,https://boxd.it/mQoGH,2.5,,,2017-12-26
2017-12-28,Spring Breakers,2012,https://boxd.it/mSSnz,3.5,,,2017-12-27
2018-01-13,Obvious Child,2014,https://boxd.it/nA6Z9,2.5,,,2018-01-12
2018-01-18,Life After Beth,2014,https://boxd.it/nMSUb,2.5,,,2018-01-17
2018-02-02,Call Me by Your Name,2017,https://boxd.it/oklNJ,3.5,,,2018-02-01
2018-06-15,Incredibles 2,2018,https://boxd.it/t5OG3,4,,,2018-06-14
2018-06-30,Eyes Wide Shut,1999,https://boxd.it/tByCX,4.5,,,2018-06-29
2018-11-03,Suspiria,2018,https://boxd.it/ylmyd,,,"theatre, regal",2018-11-02
2018-12-23,What We Do in the Shadows,2014,https://boxd.it/Aq4Xn,4,,"home, streaming",2018-12-22
2018-12-27,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/ACWjv,4,Yes,"theatre, cobb",2018-12-26
2019-04-26,Avengers: Endgame,2019,https://boxd.it/HiRpr,3.5,,,2019-04-25
2019-05-15,Climax,2018,https://boxd.it/IaUzn,4,Yes,,2019-05-14
2019-05-17,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/IhK3P,4,Yes,,2019-05-16
2019-10-26,The Lighthouse,2019,https://boxd.it/QNeon,4.5,,"theatre, regal, royal park 16, unlimited",2019-10-25
2019-10-28,Scary Stories to Tell in the Dark,2019,https://boxd.it/QU5hB,2,,"theatre, reitz",2019-10-27
2019-11-09,Parasite,2019,https://boxd.it/RD1aL,,,,2019-11-08
2019-11-18,Return of the Jedi,1983,https://boxd.it/SaOcH,3.5,Yes,"other, streaming",2019-11-17
2019-11-18,Return of the Jedi,1983,https://boxd.it/SaOKT,3.5,Yes,"other, streaming",2019-11-17
2019-11-18,Return of the Jedi,1983,https://boxd.it/SaR4B,3.5,Yes,"other, streaming",2019-11-17
2019-11-18,Return of the Jedi,1983,https://boxd.it/SaVVT,3.5,Yes,"other, streaming",2019-11-17
2019-11-25,Star Wars: The Force Awakens,2015,https://boxd.it/SA9MV,3.5,Yes,"other, streaming",2019-11-24
2019-11-25,Star Wars: The Force Awakens,2015,https://boxd.it/SAber,3.5,Yes,"other, streaming",2019-11-24
2019-12-09,A Beautiful Day in the Neighborhood,2019,https://boxd.it/Tu1sZ,3,,"theatre, regal, celebration pointe 10, unlimited",2019-12-08
2019-12-26,Uncut Gems,2019,https://boxd.it/UGAzJ,4,,"theatre, cobb",2019-12-25
2020-02-24,First Reformed,2017,https://boxd.it/10cEE3,5,Yes,"other, streaming",2020-02-22
2020-02-24,Funny Games,1997,https://boxd.it/10gAKT,4,Yes,"apartment, streaming",2020-02-23
2020-10-23,Little Shop of Horrors,1986,https://boxd.it/1q34pn,4.5,Yes,"home, streaming",2020-10-22
2021-07-01,Zola,2020,https://boxd.it/1XASEb,3.5,,"theatre, regal, butler plaza 14",2021-06-29
2021-10-03,Titane,2021,https://boxd.it/2b5PaL,4,,"theatre, hippodrome",2021-10-02
