
Date,Name,Tags,URL,Description
2017-06-03,DC Extended Universe - Ranked,,https://boxd.it/16p7S,"Ranking the films in the DCEU, which officially began with the release of <i>Man of Steel</i>."

Position,Name,Year,URL,Description
1,Man of Steel,2013,https://boxd.it/FRk,
2,Aquaman,2018,https://boxd.it/9ru0,
3,Wonder Woman,2017,https://boxd.it/9roG,
4,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
5,Justice League,2017,https://boxd.it/4w68,
6,Suicide Squad,2016,https://boxd.it/9row,
