
Date,Name,Tags,URL,Description
2017-06-02,PIXAR Films - Ranked,,https://boxd.it/16k74,Ranking all of the films created by PIXAR Animation Studios.  This may be one of the hardest ranked lists I've ever had to make due to the childhood nostalgia and emotional connection I have with the majority of these movie.  I tried my best to rank them based purely on the quality of the film overall.

Position,Name,Year,URL,Description
1,The Incredibles,2004,https://boxd.it/1XLm,
2,"Monsters, Inc.",2001,https://boxd.it/2a46,
3,Toy Story,1995,https://boxd.it/29qA,
4,Toy Story 2,1999,https://boxd.it/29qq,
5,Ratatouille,2007,https://boxd.it/27ww,
6,Finding Nemo,2003,https://boxd.it/72i,
7,WALL·E,2008,https://boxd.it/1VEo,
8,A Bug's Life,1998,https://boxd.it/1Yyy,
9,Up,2009,https://boxd.it/1OEc,
10,Toy Story 3,2010,https://boxd.it/1WRe,
11,Monsters University,2013,https://boxd.it/bQm,
12,Cars,2006,https://boxd.it/29ho,
13,Inside Out,2015,https://boxd.it/4KHC,
14,Finding Dory,2016,https://boxd.it/4aAA,
15,Brave,2012,https://boxd.it/bVG,
16,Cars 2,2011,https://boxd.it/H4Y,
17,The Good Dinosaur,2015,https://boxd.it/3AD4,
