
Date,Name,Tags,URL,Description
2017-08-23,Quentin Tarantino - Ranked,,https://boxd.it/1dbfM,This list is a my ranking of films written and directed by Quentin Tarantino that I've seen. All that's missing are <i>Jackie Brown</i> and <i>Death Proof</i>.

Position,Name,Year,URL,Description
1,Reservoir Dogs,1992,https://boxd.it/2agc,
2,Pulp Fiction,1994,https://boxd.it/29Pq,
3,Django Unchained,2012,https://boxd.it/2cCk,
4,Inglourious Basterds,2009,https://boxd.it/1JzG,
5,The Hateful Eight,2015,https://boxd.it/8gw8,
6,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,
7,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
