
Date,Name,Tags,URL,Description
2017-12-17,The A24 Challenge - Complete Filmography of A24,"a24, a24challenge",https://boxd.it/1nBJS,"I compiled every movie by A24 here by date of release, as reported on their website a24films.com. At some point I want to watch all of these in order, because at the time of making this list I’ve watched less than a third of them despite claiming A24 to be my favorite production company. I will consider this a goal to be achieved though I do not know when."

Position,Name,Year,URL,Description
1,A Glimpse Inside the Mind of Charles Swan III,2012,https://boxd.it/45ZU,
2,Ginger & Rosa,2012,https://boxd.it/41Ig,
3,Spring Breakers,2012,https://boxd.it/421s,
4,The Bling Ring,2013,https://boxd.it/3lPY,
5,The Spectacular Now,2013,https://boxd.it/4VSG,
6,Enemy,2013,https://boxd.it/5xtO,
7,Under the Skin,2013,https://boxd.it/3mDa,
8,Locke,2013,https://boxd.it/6hHC,
9,Obvious Child,2014,https://boxd.it/7i3A,
10,The Rover,2014,https://boxd.it/4WCY,
11,Life After Beth,2014,https://boxd.it/7bqM,
12,Tusk,2014,https://boxd.it/7eoa,
13,Laggies,2014,https://boxd.it/7aRC,
14,Revenge of the Green Dragons,2014,https://boxd.it/8TpK,
15,The Captive,2014,https://boxd.it/7bNG,
16,A Most Violent Year,2014,https://boxd.it/75Va,
17,Son of a Gun,2014,https://boxd.it/9j6a,
18,While We're Young,2014,https://boxd.it/7oOs,
19,Cut Bank,2014,https://boxd.it/8qZk,
20,Ex Machina,2014,https://boxd.it/7T2k,
21,Slow West,2015,https://boxd.it/6CwK,
22,Barely Lethal,2015,https://boxd.it/7hMu,
23,Amy,2015,https://boxd.it/aSNU,
24,The End of the Tour,2015,https://boxd.it/7jIE,
25,Dark Places,2015,https://boxd.it/5ylc,
26,Mississippi Grind,2015,https://boxd.it/9UfI,
27,Room,2015,https://boxd.it/7T0y,
28,Mojave,2015,https://boxd.it/6ZHQ,
29,The Witch,2015,https://boxd.it/9X0m,
30,Remember,2015,https://boxd.it/9DfG,
31,Krisha,2015,https://boxd.it/ax4E,
32,Green Room,2015,https://boxd.it/a75m,
33,The Adderall Diaries,2015,https://boxd.it/8kIs,
34,The Lobster,2015,https://boxd.it/7tnw,
35,De Palma,2015,https://boxd.it/bZDk,
36,Swiss Army Man,2016,https://boxd.it/bDG2,
37,Equals,2015,https://boxd.it/9BAM,
38,Into the Forest,2015,https://boxd.it/b2KG,
39,Morris from America,2016,https://boxd.it/bSjs,
40,The Sea of Trees,2015,https://boxd.it/987m,
41,American Honey,2016,https://boxd.it/bk7C,
42,Moonlight,2016,https://boxd.it/d6bE,
43,Supersonic,2016,https://boxd.it/eyzG,
44,The Monster,2016,https://boxd.it/bjlo,
45,20th Century Women,2016,https://boxd.it/bqU6,
46,Trespass Against Us,2016,https://boxd.it/7zis,
47,The Blackcoat's Daughter,2015,https://boxd.it/b2Km,
48,Free Fire,2016,https://boxd.it/b2Ig,
49,The Lovers,2017,https://boxd.it/f5om,
50,The Exception,2016,https://boxd.it/bj1y,
51,It Comes at Night,2017,https://boxd.it/eLuk,
52,A Ghost Story,2017,https://boxd.it/fb0K,
53,Menashe,2017,https://boxd.it/fbvo,
54,Good Time,2017,https://boxd.it/fcFu,
55,Woodshock,2017,https://boxd.it/dTzg,
56,The Florida Project,2017,https://boxd.it/dMG0,
57,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
58,Lady Bird,2017,https://boxd.it/dGNE,
59,The Disaster Artist,2017,https://boxd.it/cTqc,
60,The Ballad of Lefty Brown,2017,https://boxd.it/fzsS,
