
Date,Name,Tags,URL,Description
2016-05-15,Tim Burton Films - Ranked,,https://boxd.it/H7tm,This ranking only includes the Burton films that I have seen.

Position,Name,Year,URL,Description
1,Edward Scissorhands,1990,https://boxd.it/2aZc,
2,Beetlejuice,1988,https://boxd.it/24QI,
3,Pee-wee's Big Adventure,1985,https://boxd.it/22Lw,
4,Batman Returns,1992,https://boxd.it/2awa,
5,Corpse Bride,2005,https://boxd.it/24WQ,
6,Batman,1989,https://boxd.it/2aIU,
7,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,
8,Alice in Wonderland,2010,https://boxd.it/1Spq,
9,Frankenweenie,2012,https://boxd.it/bPS,
