
Date,Name,Tags,URL,Description
2018-08-22,UF Film Analysis Fall 2018 - Weekly Screenings ,,https://boxd.it/1Zwew,

Position,Name,Year,URL,Description
1,Laura,1944,https://boxd.it/27Oq,
2,Bicycle Thieves,1948,https://boxd.it/23hW,
3,Witness for the Prosecution,1957,https://boxd.it/18H4,
4,In the Mood for Love,2000,https://boxd.it/29tE,
5,Notorious,1946,https://boxd.it/2aDK,
6,Man with a Movie Camera,1929,https://boxd.it/1u7s,
7,Singin' in the Rain,1952,https://boxd.it/29oY,
8,Do the Right Thing,1989,https://boxd.it/29gA,
9,Daughters of the Dust,1991,https://boxd.it/2dkw,
10,20 Feet from Stardom,2013,https://boxd.it/4Yoa,
11,High Noon,1952,https://boxd.it/2aGa,
12,Alien,1979,https://boxd.it/2awY,
13,Pariah,2011,https://boxd.it/2wWk,
14,Strange Days,1995,https://boxd.it/2aGO,
