
Date,Name,Tags,URL,Description
2017-09-11,⭐️⭐️⭐️⭐️⭐️,,https://boxd.it/1eOHs,I hate every movie that’s not on this list

Position,Name,Year,URL,Description
1,Citizen Kane,1941,https://boxd.it/71O,
2,Bicycle Thieves,1948,https://boxd.it/23hW,
3,Singin' in the Rain,1952,https://boxd.it/29oY,
4,Seven Samurai,1954,https://boxd.it/2axi,
5,Paths of Glory,1957,https://boxd.it/29b6,
6,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
7,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
8,Persona,1966,https://boxd.it/29B4,
9,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
10,A Clockwork Orange,1971,https://boxd.it/2aVE,
11,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
12,The Shining,1980,https://boxd.it/29Nu,
13,The Empire Strikes Back,1980,https://boxd.it/27Vw,
14,My Dinner with Andre,1981,https://boxd.it/1vLe,
15,Come and See,1985,https://boxd.it/1w9q,
16,Do the Right Thing,1989,https://boxd.it/29gA,
17,GoodFellas,1990,https://boxd.it/29FA,
18,The Silence of the Lambs,1991,https://boxd.it/2aHW,
19,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
20,The Big Lebowski,1998,https://boxd.it/2b6C,
21,Fight Club,1999,https://boxd.it/2a9q,
22,Memento,2000,https://boxd.it/2bcK,
23,In the Mood for Love,2000,https://boxd.it/29tE,
24,Mulholland Drive,2001,https://boxd.it/297o,
25,Oldboy,2003,https://boxd.it/29R2,
26,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
27,No Country for Old Men,2007,https://boxd.it/21ew,
28,There Will Be Blood,2007,https://boxd.it/20Z2,
29,Whiplash,2014,https://boxd.it/7bQA,
30,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
31,Moonlight,2016,https://boxd.it/d6bE,
32,La La Land,2016,https://boxd.it/a5fa,
33,First Reformed,2017,https://boxd.it/go9C,
34,Parasite,2019,https://boxd.it/hTha,
35,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
