Date,Name,Year,Letterboxd URI,Rating
2016-05-13,The Incredible Hulk,2008,https://boxd.it/28dU,2.5
2016-05-14,Iron Man 2,2010,https://boxd.it/1WZM,2.5
2016-05-14,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2016-05-15,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,3.5
2016-05-17,The Terminator,1984,https://boxd.it/2aQY,4
2016-05-18,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2016-05-18,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2016-05-18,The Shining,1980,https://boxd.it/29Nu,5
2016-05-18,Boyhood,2014,https://boxd.it/3178,4.5
2016-05-23,Batman,1989,https://boxd.it/2aIU,3
2016-06-03,The Babadook,2014,https://boxd.it/77xu,3.5
2016-06-04,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2016-06-09,Jurassic Park,1993,https://boxd.it/2aA2,4
2016-06-11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2016-06-12,Pleasantville,1998,https://boxd.it/26uY,4
2016-06-12,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2016-06-16,Into the Wild,2007,https://boxd.it/22m2,4.5
2016-06-18,Finding Nemo,2003,https://boxd.it/72i,4
2016-06-18,WALL·E,2008,https://boxd.it/1VEo,4
2016-06-21,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2016-06-30,Batman Returns,1992,https://boxd.it/2awa,3.5
2016-06-30,Star Wars,1977,https://boxd.it/72s,4.5
2016-07-03,Meet the Parents,2000,https://boxd.it/28vE,3
2016-07-05,Cast Away,2000,https://boxd.it/20i8,4
2016-07-11,Citizen Kane,1941,https://boxd.it/71O,5
2016-07-20,Hush,2016,https://boxd.it/d5ys,3.5
2016-07-21,Galaxy Quest,1999,https://boxd.it/29gq,3.5
2016-07-25,The Running Man,1987,https://boxd.it/29q6,3
2016-08-01,Hot Fuzz,2007,https://boxd.it/2416,4
2016-08-01,The Usual Suspects,1995,https://boxd.it/29XE,3.5
2016-08-04,The Secret Life of Pets,2016,https://boxd.it/aJ5E,2.5
2016-08-22,Man of Steel,2013,https://boxd.it/FRk,3.5
2016-09-04,No Country for Old Men,2007,https://boxd.it/21ew,5
2016-09-25,Interstellar,2014,https://boxd.it/4VZ8,4
2016-10-06,Deepwater Horizon,2016,https://boxd.it/9oiU,3.5
2016-11-04,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2016-11-04,Iron Man,2008,https://boxd.it/28dA,3.5
2016-11-20,Casino Royale,2006,https://boxd.it/1alk,4
2016-11-20,Sleepy Hollow,1999,https://boxd.it/26u0,3
2016-11-23,Moonlight,2016,https://boxd.it/d6bE,5
2016-11-30,Fight Club,1999,https://boxd.it/2a9q,5
2016-12-02,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,5
2016-12-03,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2016-12-12,Bad Moms,2016,https://boxd.it/d5nk,1
2016-12-21,Nocturnal Animals,2016,https://boxd.it/bkFu,4.5
