Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2016-06-05,The Do-Over,2016,https://boxd.it/9Z1ff,0.5,,This movie was so pointlessly and unnecessarily vulgar and gross that I couldn't get farther than halfway through it.  Disgusting and graphic sexual and other inappropriate content abound in this film with no real purpose other than as a horribly failed attempt at cruel humor.,,2016-06-04
2016-06-11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/a3u5V,5,,"<i>""Blessed are the forgetful, for they get the better even of their blunders.""</i>
<i>
</i>A truly unique and beautiful film that justifies out-of-order storytelling in the form of a reverse love story.  A great cast does an amazing job of making the convoluted plot consumable for the viewer.  I found myself so engaged in the quirky characters and plot that it was near impossible to find anything about the film I did not like.  Combine a very emotional romance drama with touches of science fiction, comedy, and overall weirdness, and you'll have the gem that is Eternal Sunshine of the Spotless Mind.",,2016-06-10
2016-06-12,Pleasantville,1998,https://boxd.it/a48Nt,4,,"<i>""Honey, I'm home!""</i>

Very original and thought-provoking, Pleasantville provides an interesting concept coupled with great visuals using the parallel of greyscale vs color (a shot that comes to mind is a car driving through a forest where everything is black and white except the tons of pink rose petals falling to the ground).  While it did seem to drag on in the second half, the movie still succeeded in creating some social commentary in a very unique way.  It may have served better as a short film rather than a full-length feature film, but Pleasantville is an entertaining and intelligent movie that is well worth watching.",,2016-06-11
2016-06-14,Nightcrawler,2014,https://boxd.it/a5JDH,4,,"<i>""Why you pursue something is as important as what you pursue.""</i>

This movie deviates from most in that it forces you to dislike the protagonist based on his actions and immorality.  The story is very interesting and you are kept on the edge of the seat through many intense action sequences.  Though the protagonist is very selfish and practically everything he does is for his own gain, I still found myself rooting for him most of the time.  By the end of the film my opinion of the main character had changed from one of sympathy and support to one of complete hatred.  All in all a riveting and unique film that is definitely one of the top movies of its year.",,2016-06-13
2016-06-15,Into the Wild,2007,https://boxd.it/a6m71,4.5,,"<i>HAPPINESS ONLY REAL WHEN SHARED</i>
<i>
</i>Absolutely beautiful.  This film is impossibly beautiful, inspiring, and depressing all at the same time.  The poignancy of the movie is only increased when it is taken into consideration that the story of Christopher Johnson McCandless is real.  A man seeking a purpose changes the lives of people he meets along his journey.  The acting is impeccably admirable and very real, causing the viewer to very easily become attached to the many average yet loveable characters.  Emile Hirsch <i>is</i> Christopher McCandless, with such a convincing and heartwrenching performance it made me believe he actually lived this story.  This is a prime example of how a biographical film should be, chronicling the journey of an admirably determined young man while inspiring and teaching the viewers to appreciate life, nature, and happiness.",,2016-06-14
2016-06-18,Finding Dory,2016,https://boxd.it/a80iZ,2.5,,"<i>""Just keep swimming.""</i>

Not surprisingly, this was a good movie.  It was definitely better than what I expected after seeing the trailers.  It meets the Pixar standard for quality animation, good story, and plenty of emotional moments.  This is Dory's story, as evidenced by the title, and it works very well.  Her story is tied into the beginning of Finding Nemo so that we see how she came across Marlin, and then the plot begins a year after the events of the prior film.  It's nice to see old characters return and the new characters fit well in this world.  While the movie does feel repetitive at times, having a similar plot to the first movie, and sometimes even a bit frantic, the story ties up nicely and provides plenty of laughs while teaching valuable lessons about loss, family, and believing in yourself.",,2016-06-17
2016-06-21,Inglourious Basterds,2009,https://boxd.it/aarKP,4.5,,"<i>""Each and every man under my command owes me one hundred Nazi scalps.  And I want my scalps.  And all y'all will git me one hundred Nazi scalps, taken from the heads of one hundred dead Nazis.  Or you will die tryin'.""</i>

Another great film from Tarantino.  If you're a sucker for historical accuracy then this movie is definitely not for you.  It depicts a fictional ending to WWII that I think we all would love to have happened.  Great performances from great actors, a lot of suspense, great action, more than a few twists, and Tarantino's infamous disturbing imagery sprinkled with some dark humor mak<i>e</i> for an entertaining fictional war film.",,2016-06-20
2016-06-24,The Shallows,2016,https://boxd.it/acE55,2,,"<i>""Ready to get wet, Dr. Adams?""</i>

Suspenseful, but was extremely cheesy on multiple occasions.  I found myself laughing more than I did gasping. Still worth the watch even if it is just to make fun of it.",,2016-06-23
2016-06-27,The Fundamentals of Caring,2016,https://boxd.it/aeQ9n,3.5,,"<i>""Trevor Conklin was handsome and cool.""</i>
<i>
</i>A great comedy drama about an eighteen-year old named Trevor who suffers from Duchenne Muscular Dystrophy and his caregiver, who decides to take Trevor on a road trip so that he can get out and see the world in person rather than on TV.  The movie makes light of Trevor's disability, entirely because of Trevor's extremely dry and cynical view of himself and the world, which caused me to laugh more than a few times.  Selena Gomez seems randomly thrown in if you simply read over the cast and plot, but she really shines in her role as a young rebellious woman who feels the need to get to Denver for whatever reason.  A pregnant woman named Peaches joins along to complete the four person road trip.  What started as an outing for Trevor to see some dumb attractions in the US ends up as a journey in acceptance and moving forward, as the internal conflicts of each of these characters are resolved by the end.    The pregnant woman doesn't really fit or add much to the story, but overall it doesn't do any real harm to the film itself.

A quirky movie with acting that isn't revolutionary but is good, a simple plot that works, and some touches of heartfelt emotion as well as dark comedy make this an overall worthwhile film to add to your watchlist (if you're a Netflix subscriber, of course).",,2016-06-26
2016-07-03,Lethal Weapon,1987,https://boxd.it/ajhqD,3.5,,"<i>""Have you ever met anybody you didn't kill?""</i>
<i>""Well, I haven't killed you yet.""</i>

In short, Lethal Weapon exemplifies practically everything that an action movie should strive to be.  The film abounds with great action sequences and funny quips from really loveable characters.  It's cheesy at times, but what can you really expect from an '80s action flick?  Plus, who <i>wouldn't</i> want to see Mel Gibson facing Gary Busey in muddy hand-to-hand combat?",,2016-07-02
